"Currency Name","Price","Change","Change %","Market Cap","Volume","Circulating Supply","Timestamp"
"Bitcoin USD","62,703.77","-381.96","-0.61%","1.239T","15.806B","19.767M","2024-10-13 13:14:22"
"Ethereum USD","2,467.78","+7.44","+0.30%","297.079B","8.737B","120.383M","2024-10-13 13:14:22"
"Tether USDt USD","0.999637","-0.000065","-0.01%","119.695B","33.952B","119.738B","2024-10-13 13:14:22"
"BNB USD","573.07","-4.05","-0.70%","83.629B","1.426B","145.932M","2024-10-13 13:14:22"
"Solana USD","147.77","+0.73","+0.50%","69.396B","1.138B","469.638M","2024-10-13 13:14:22"
"USD Coin USD","0.999801","-0.000208","-0.02%","35.022B","2.479B","35.029B","2024-10-13 13:14:23"
"XRP USD","0.532471","-0.009176","-1.69%","30.162B","571.671M","56.645B","2024-10-13 13:14:23"
"Lido Staked ETH USD","2,466.06","+10.24","+0.42%","24.043B","10.666M","9.75M","2024-10-13 13:14:23"
"Dogecoin USD","0.111607","+0.000105","+0.09%","16.334B","515.626M","146.349B","2024-10-13 13:14:23"
"Wrapped TRON USD","0.162730","-0.000944","-0.58%","14.226B","2.677M","87.423B","2024-10-13 13:14:23"
"TRON USD","0.162791","-0.000745","-0.46%","14.09B","230.414M","86.552B","2024-10-13 13:14:23"
"Toncoin USD","5.2620","-0.0315","-0.60%","13.355B","115.341M","2.538B","2024-10-13 13:14:23"
"Cardano USD","0.352762","-0.002176","-0.61%","12.335B","167.665M","34.967B","2024-10-13 13:14:23"
"Avalanche USD","29.07","+0.34","+1.19%","11.821B","325.437M","406.597M","2024-10-13 13:14:23"
"Lido wstETH USD","2,912.32","+13.76","+0.47%","10.751B","12.459M","3.692M","2024-10-13 13:14:23"
"Shiba Inu USD","0.000018","-0.000000","-2.43%","10.383B","228.76M","589.267T","2024-10-13 13:14:23"
"Wrapped Bitcoin USD","62,674.09","-212.30","-0.34%","9.404B","84.94M","150,043","2024-10-13 13:14:23"
"WETH USD","2,464.38","+9.23","+0.38%","8.318B","512.624M","3.375M","2024-10-13 13:14:23"
"Chainlink USD","10.92","-0.16","-1.41%","6.848B","165.342M","626.85M","2024-10-13 13:14:23"
"Bitcoin Cash USD","324.87","-5.06","-1.53%","6.424B","135.181M","19.774M","2024-10-13 13:14:23"
"Polkadot USD","4.1747","-0.0710","-1.67%","6.282B","102.467M","1.505B","2024-10-13 13:14:24"
"Sui USD","2.1916","-0.0051","-0.23%","6.057B","1.074B","2.764B","2024-10-13 13:14:24"
"NEAR Protocol USD","4.7210","-0.1240","-2.56%","5.733B","203.218M","1.214B","2024-10-13 13:14:24"
"UNUS SED LEO USD","6.0972","+0.0233","+0.38%","5.641B","10.128M","925.252M","2024-10-13 13:14:24"
"Dai USD","0.999780","-0.000163","-0.02%","5.364B","54.779M","5.365B","2024-10-13 13:14:24"
"Aptos USD","10.03","+1.25","+14.28%","5.171B","597.886M","515.312M","2024-10-13 13:14:24"
"Litecoin USD","65.42","-1.10","-1.65%","4.911B","167.675M","75.078M","2024-10-13 13:14:24"
"Uniswap USD","7.8873","-0.0953","-1.19%","4.735B","189.766M","600.295M","2024-10-13 13:14:24"
"Bittensor USD","638.89","-24.12","-3.64%","4.716B","169.279M","7.381M","2024-10-13 13:14:24"
"ether.fi Staked ETH USD","2,457.26","+1.48","+0.06%","4.323B","55,485","1.759M","2024-10-13 13:14:24"
"Wrapped eETH USD","2,591.09","+14.65","+0.57%","4.121B","3.341M","1.591M","2024-10-13 13:14:24"
"Pepe USD","0.00000975","-0.00000035","-3.49%","4.102B","590.937M","420.69T","2024-10-13 13:14:24"
"Bitcoin BEP2 USD","62,695.91","-293.04","-0.47%","4.084B","9.663M","65,135","2024-10-13 13:14:24"
"Internet Computer USD","7.9222","-0.2918","-3.55%","3.741B","41.727M","472.159M","2024-10-13 13:14:24"
"Wrapped Beacon ETH USD","2,593.28","+6.72","+0.26%","3.69B","3.356M","1.423M","2024-10-13 13:14:24"
"Artificial Superintelligence Alliance USD","1.4366","-0.0033","-0.23%","3.62B","137.93M","2.52B","2024-10-13 13:14:24"
"Kaspa USD","0.132742","-0.005831","-4.21%","3.306B","33.879M","24.905B","2024-10-13 13:14:24"
"First Digital USD USD","0.997869","-0.000468","-0.05%","3.192B","2.174B","3.199B","2024-10-13 13:14:24"
"POL (ex-MATIC) USD","0.367890","-0.006166","-1.65%","2.793B","68.676M","7.593B","2024-10-13 13:14:24"
